simulation,dem_seats,dem_control,national_error
7393,51.0,1,-0.5239077607005707
7394,50.0,0,-2.56539767068311
7395,50.0,0,-1.7516143556587536
7396,51.0,1,-1.1584239468032038
7397,47.0,0,-8.532801573404669
7398,50.0,0,1.9326583848303132
7399,52.0,1,6.355172001166217
7400,54.0,1,5.2895455471500785
7401,49.0,0,-5.291493290977719
7402,50.0,0,-0.5760934337103547
7403,53.0,1,3.280735351458493
7404,49.0,0,-5.522362380253538
7405,50.0,0,0.47398789551614756
7406,49.0,0,-2.398520907739739
7407,49.0,0,-5.2919111114559785
7408,49.0,0,-1.127627236454294
7409,46.0,0,-7.89682795167652
7410,55.0,1,9.297301088100685
7411,51.0,1,1.9359260858333678
7412,50.0,0,-2.9444941653398122
7413,54.0,1,3.1432853339883504
7414,51.0,1,4.593388438193996
7415,48.0,0,-6.558945249692172
7416,56.0,1,11.178378401166999
7417,48.0,0,-6.916919944778498
7418,49.0,0,-1.3954169222418595
7419,53.0,1,1.8711309690775453
7420,54.0,1,2.0084751579007425
7421,52.0,1,0.935759495874302
7422,49.0,0,-2.403985879140217
7423,54.0,1,4.43255796483481
7424,54.0,1,7.219121550743319
7425,55.0,1,9.03210076826981
7426,53.0,1,3.217353207202309
7427,52.0,1,1.0788295489803295
7428,50.0,0,-1.416764750235125
7429,49.0,0,-5.346942270018706
7430,55.0,1,6.449490569631763
7431,50.0,0,-3.024229442731005
7432,52.0,1,-0.33289963574215675
7433,49.0,0,-5.503205852541036
7434,55.0,1,8.612373296129226
7435,50.0,0,-0.2139111490437708
7436,49.0,0,-2.2208217697506307
7437,51.0,1,-1.1006101207550212
7438,49.0,0,-2.1400529451120116
7439,52.0,1,2.141072271390494
7440,51.0,1,-0.4665392868862946
7441,50.0,0,-0.4462976057103321
7442,51.0,1,1.5214223714575343
7443,53.0,1,3.018749510570758
7444,51.0,1,1.563813698080708
7445,53.0,1,1.167573908319949
7446,49.0,0,-2.7194468161320184
7447,52.0,1,-2.75830727895586
7448,51.0,1,-0.991182897915008
7449,54.0,1,6.837757518323355
7450,50.0,0,-0.5689292040364533
7451,51.0,1,1.649528123907893
7452,50.0,0,-3.349776514685647
7453,49.0,0,-3.063488042842227
7454,50.0,0,-2.017880003888276
7455,51.0,1,-0.9900454267560655
7456,48.0,0,-6.3978497353764
7457,47.0,0,-4.8738682009178556
7458,50.0,0,-0.9941719731463412
7459,53.0,1,1.5578325981806704
7460,48.0,0,-5.060916244380859
7461,49.0,0,-5.123356649331187
7462,51.0,1,-1.9988025085688894
7463,48.0,0,-3.8466306990721457
7464,46.0,0,-6.36702443175508
7465,46.0,0,-6.8004989844701775
7466,49.0,0,-1.4374290490850243
7467,49.0,0,-2.7447796278014693
7468,48.0,0,-3.63036250300574
7469,54.0,1,4.299541070507517
7470,48.0,0,-5.720916417519649
