global_sd,races,brier,log_loss,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,rank_brier,rank_log_loss,rank_expected_calibration_error,rank_mean_absolute_coverage_error,average_rank,pareto_optimal,recommended
12.5,234,0.07784214002049254,0.27360648744324795,0.0567440739866744,0.09136671817969046,0.3667173299055489,0.6623931623931624,0.16239316239316237,0.16239316239316237,0.8931623931623932,0.09316239316239316,0.09316239316239316,0.9529914529914529,0.002991452991452981,0.002991452991452981,0.08618233618233617,0.16239316239316237,31.0,14.0,23.0,22.0,22.5,False,False
12.75,234,0.0782159139303533,0.2746805061302743,0.059414928254590195,0.09378089907998302,0.36922269004508745,0.6666666666666666,0.16666666666666663,0.16666666666666663,0.8931623931623932,0.09316239316239316,0.09316239316239316,0.9529914529914529,0.002991452991452981,0.002991452991452981,0.08760683760683759,0.16666666666666663,32.0,16.0,27.0,23.0,24.5,False,False
13.0,234,0.07860271176680356,0.27584142210227575,0.062085621250123374,0.09599379946998345,0.3716375725525951,0.6794871794871795,0.17948717948717952,0.17948717948717952,0.8974358974358975,0.09743589743589742,0.09743589743589742,0.9529914529914529,0.002991452991452981,0.002991452991452981,0.0933048433048433,0.17948717948717952,33.0,17.0,33.0,25.0,27.0,False,False
13.25,234,0.0790019185274635,0.2770815926428908,0.061309568655464,0.08848523234218426,0.36846597776104356,0.6837606837606838,0.18376068376068377,0.18376068376068377,0.9017094017094017,0.10170940170940168,0.10170940170940168,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.10042735042735045,0.18376068376068377,34.0,19.0,32.0,27.0,28.0,False,False
13.5,234,0.07941293439800994,0.2783940198906767,0.06393354377544866,0.09008872041212139,0.37080563492726837,0.6837606837606838,0.18376068376068377,0.18376068376068377,0.905982905982906,0.10598290598290594,0.10598290598290594,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.10185185185185186,0.18376068376068377,35.0,20.0,35.0,28.0,29.5,False,False
13.75,234,0.07983517562228726,0.2797722862756588,0.0665413690801844,0.09266286520238842,0.37306518199237815,0.7008547008547008,0.2008547008547008,0.2008547008547008,0.9145299145299145,0.11452991452991446,0.11452991452991446,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.11039886039886038,0.2008547008547008,36.0,22.0,36.0,30.0,31.0,False,False
14.0,234,0.08026807518305511,0.28121049763608136,0.06913243521828916,0.09717813116927468,0.37524857628504693,0.7136752136752137,0.2136752136752137,0.2136752136752137,0.9145299145299145,0.11452991452991446,0.11452991452991446,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.11467236467236468,0.2136752136752137,37.0,23.0,37.0,31.0,32.0,False,False
14.25,234,0.08071108330531902,0.282703232977824,0.07170618064669754,0.09901406020226955,0.3648712629223621,0.7222222222222222,0.2222222222222222,0.2222222222222222,0.9145299145299145,0.11452991452991446,0.11452991452991446,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.1175213675213675,0.2222222222222222,38.0,25.0,39.0,32.0,33.5,False,False
14.5,234,0.08116366779630704,0.2842454999930051,0.07084009139017934,0.09794293986429552,0.36043680510713494,0.7350427350427351,0.2350427350427351,0.2350427350427351,0.9188034188034188,0.11880341880341871,0.11880341880341871,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.12321937321937322,0.2350427350427351,39.0,26.0,38.0,34.0,34.25,False,False
14.75,234,0.08162531423744446,0.28583269558341945,0.07336355198939325,0.10051854841192731,0.3626878826335635,0.7478632478632479,0.24786324786324787,0.24786324786324787,0.9230769230769231,0.12307692307692308,0.12307692307692308,0.9658119658119658,0.015811965811965867,0.015811965811965867,0.12891737891737895,0.24786324786324787,40.0,28.0,40.0,35.0,35.75,False,False
