global_sd,races,brier,log_loss,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,cycle
6.75,34,0.04359661279737028,0.13686505268967816,0.07603829043679672,0.15010344412658858,0.45699194926364994,0.5294117647058824,0.02941176470588236,0.02941176470588236,0.7941176470588235,-0.005882352941176561,0.005882352941176561,0.9117647058823529,-0.038235294117647034,0.038235294117647034,0.02450980392156865,0.038235294117647034,2022
6.75,34,0.03559757827429627,0.1192819649587296,0.06056194380728894,0.11765324238732894,0.36298952987442124,0.5294117647058824,0.02941176470588236,0.02941176470588236,0.7352941176470589,-0.06470588235294117,0.06470588235294117,0.9411764705882353,-0.008823529411764675,0.008823529411764675,0.03431372549019607,0.06470588235294117,2024
7.0,32,0.11943957182972126,0.4056480892247102,0.15113692122464253,0.2128127221512984,0.6405126831296677,0.3125,-0.1875,0.1875,0.5,-0.30000000000000004,0.30000000000000004,0.6875,-0.26249999999999996,0.26249999999999996,0.25,0.30000000000000004,2012
7.0,35,0.06659161034928615,0.22915318236946217,0.08718749574485685,0.1463062306083931,0.39992694682892926,0.42857142857142855,-0.07142857142857145,0.07142857142857145,0.6285714285714286,-0.17142857142857149,0.17142857142857149,0.8571428571428571,-0.09285714285714286,0.09285714285714286,0.11190476190476194,0.17142857142857149,2014
7.0,33,0.09693539264781828,0.2759176182561666,0.12862031313291986,0.2243054634885246,0.6948798608812099,0.2727272727272727,-0.2272727272727273,0.2272727272727273,0.5757575757575758,-0.22424242424242424,0.22424242424242424,0.7878787878787878,-0.1621212121212121,0.1621212121212121,0.20454545454545456,0.2272727272727273,2016
7.0,33,0.10150344224616699,0.789989685722486,0.11221458520273815,0.16792284953595413,0.6105554504137218,0.42424242424242425,-0.07575757575757575,0.07575757575757575,0.7272727272727273,-0.07272727272727275,0.07272727272727275,0.8484848484848485,-0.10151515151515145,0.10151515151515145,0.08333333333333331,0.10151515151515145,2018
7.0,33,0.059022092092743624,0.190852598020568,0.08970609820738878,0.1419747139113906,0.5453615571723878,0.6060606060606061,0.10606060606060608,0.10606060606060608,0.8181818181818182,0.018181818181818188,0.018181818181818188,0.9090909090909091,-0.040909090909090895,0.040909090909090895,0.05505050505050505,0.10606060606060608,2020
7.0,34,0.044002404760292324,0.13884682123926878,0.07772468666676077,0.15134113844620037,0.45850951513062466,0.5294117647058824,0.02941176470588236,0.02941176470588236,0.7941176470588235,-0.005882352941176561,0.005882352941176561,0.9117647058823529,-0.038235294117647034,0.038235294117647034,0.02450980392156865,0.038235294117647034,2022
7.0,34,0.03617119152750478,0.12168438327564568,0.06270895157653228,0.11472499380636816,0.3574427428421342,0.5588235294117647,0.05882352941176472,0.05882352941176472,0.7352941176470589,-0.06470588235294117,0.06470588235294117,0.9411764705882353,-0.008823529411764675,0.008823529411764675,0.04411764705882352,0.06470588235294117,2024
7.25,32,0.11875080464829404,0.3965380744621011,0.1494631808773313,0.21202855201576573,0.6358626941784271,0.3125,-0.1875,0.1875,0.53125,-0.26875000000000004,0.26875000000000004,0.75,-0.19999999999999996,0.19999999999999996,0.21875,0.26875000000000004,2012
7.25,35,0.06648491451361895,0.22652300005530046,0.08747070939943383,0.14585996466000323,0.4033081367029864,0.42857142857142855,-0.07142857142857145,0.07142857142857145,0.6857142857142857,-0.11428571428571432,0.11428571428571432,0.8571428571428571,-0.09285714285714286,0.09285714285714286,0.09285714285714287,0.11428571428571432,2014
7.25,33,0.09594590594066955,0.27374371239777967,0.12871059903310927,0.22181489202335578,0.6886946154184533,0.2727272727272727,-0.2272727272727273,0.2272727272727273,0.5757575757575758,-0.22424242424242424,0.22424242424242424,0.8484848484848485,-0.10151515151515145,0.10151515151515145,0.18434343434343434,0.2272727272727273,2016
7.25,33,0.10159134420620489,0.7551601017892586,0.10241308688046687,0.16601106145017944,0.6068373250234702,0.42424242424242425,-0.07575757575757575,0.07575757575757575,0.7272727272727273,-0.07272727272727275,0.07272727272727275,0.8484848484848485,-0.10151515151515145,0.10151515151515145,0.08333333333333331,0.10151515151515145,2018
7.25,33,0.05911912797487345,0.19118341828611266,0.09066796925084578,0.14298153331061084,0.5438037793351518,0.6363636363636364,0.13636363636363635,0.13636363636363635,0.8484848484848485,0.048484848484848464,0.048484848484848464,0.9090909090909091,-0.040909090909090895,0.040909090909090895,0.07525252525252524,0.13636363636363635,2020
7.25,34,0.04441388921250279,0.14086776163802953,0.07944764233664342,0.15255201492039883,0.4599242176859615,0.5294117647058824,0.02941176470588236,0.02941176470588236,0.7941176470588235,-0.005882352941176561,0.005882352941176561,0.9117647058823529,-0.038235294117647034,0.038235294117647034,0.02450980392156865,0.038235294117647034,2022
7.25,34,0.03674494032159587,0.12411196248206462,0.06487118527834695,0.11688503751841081,0.36215442061155845,0.5882352941176471,0.08823529411764708,0.08823529411764708,0.7647058823529411,-0.03529411764705892,0.03529411764705892,0.9705882352941176,0.020588235294117685,0.020588235294117685,0.04803921568627456,0.08823529411764708,2024
7.5,32,0.11807249744370522,0.3885083016233353,0.14768207316443158,0.21124399005978503,0.6315045678927762,0.34375,-0.15625,0.15625,0.53125,-0.26875000000000004,0.26875000000000004,0.75,-0.19999999999999996,0.19999999999999996,0.20833333333333334,0.26875000000000004,2012
7.5,35,0.0664042845970469,0.22440634962119,0.0952323781092176,0.14995345195983098,0.40647045442712826,0.45714285714285713,-0.04285714285714287,0.04285714285714287,0.6857142857142857,-0.11428571428571432,0.11428571428571432,0.8857142857142857,-0.06428571428571428,0.06428571428571428,0.07380952380952382,0.11428571428571432,2014
7.5,33,0.09505678358228611,0.2720172732140205,0.12892041126790624,0.21950964122111905,0.6828732080816216,0.30303030303030304,-0.19696969696969696,0.19696969696969696,0.6060606060606061,-0.19393939393939397,0.19393939393939397,0.8484848484848485,-0.10151515151515145,0.10151515151515145,0.16414141414141412,0.19696969696969696,2016
