snapshot_id,race_key,cycle,state,race_id,election_date,snapshot_date,days_before_election,source_candidate_rows,source_questions,candidate_questions,eligible_questions,excluded_questions,has_eligible_polling,earliest_eligible_end_date,latest_eligible_end_date,mean_dem_margin_unweighted,median_dem_margin_unweighted,mean_poll_age_days,median_poll_age_days,internal_questions,partisan_questions,tracking_questions,baseline_poll_margin_dem,baseline_poll_margin_dem_unweighted,baseline_poll_margin_median,baseline_poll_margin_weighted_sd,baseline_poll_question_count,baseline_poll_count,baseline_pollster_count,baseline_effective_question_count,baseline_total_raw_weight,baseline_mean_poll_age_days,baseline_oldest_poll_age_days,baseline_newest_poll_age_days,baseline_mean_sample_size,baseline_imputed_sample_count,baseline_has_polling
2018_ME_103_20181106_D060,2018_ME_103_20181106,2018,ME,103,2018-11-06,2018-09-07,60,17,6,6,0,6,False,,,,,,,0,0,0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,False
2018_ME_103_20181106_D030,2018_ME_103_20181106,2018,ME,103,2018-11-06,2018-10-07,30,17,6,6,0,6,False,,,,,,,0,0,0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,False
2018_ME_103_20181106_D014,2018_ME_103_20181106,2018,ME,103,2018-11-06,2018-10-23,14,17,6,6,0,6,False,,,,,,,0,0,0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,False
2018_ME_103_20181106_D007,2018_ME_103_20181106,2018,ME,103,2018-11-06,2018-10-30,7,17,6,6,0,6,False,,,,,,,0,0,0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,False
2018_ME_103_20181106_D000,2018_ME_103_20181106,2018,ME,103,2018-11-06,2018-11-06,0,17,6,6,0,6,False,,,,,,,0,0,0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,False
2018_MI_106_20181106_D120,2018_MI_106_20181106,2018,MI,106,2018-11-06,2018-07-09,120,79,35,35,7,28,True,2018-01-19,2018-07-02,12.328571428571427,11.0,30.428571428571427,7.0,0,0,0,10.830277652916521,12.328571428571427,11.0,1.0684225982586475,7.0,2.0,2.0,5.991688390995901,5.231351354212617,7.006597259737758,171.0,7.0,916.1454318868613,0.0,True
2018_MI_106_20181106_D090,2018_MI_106_20181106,2018,MI,106,2018-11-06,2018-08-08,90,79,35,35,9,26,True,2018-01-19,2018-07-21,13.666666666666664,12.0,51.22222222222222,37.0,0,0,0,13.989677823251156,13.666666666666664,12.0,3.7993874401883554,9.0,4.0,4.0,6.90632497678646,2.046145639708165,29.444417608728084,201.0,18.0,846.1203872769423,0.0,True
2018_MI_106_20181106_D060,2018_MI_106_20181106,2018,MI,106,2018-11-06,2018-09-07,60,79,35,35,13,22,True,2018-01-19,2018-09-07,14.453846153846152,12.0,61.61538461538461,67.0,1,0,0,17.680781210430762,14.453846153846152,12.0,4.835438526917481,13.0,8.0,7.0,4.420550444974222,2.4471480654133435,20.617681197115694,231.0,0.0,667.0085688844463,0.0,True
2018_MI_106_20181106_D030,2018_MI_106_20181106,2018,MI,106,2018-11-06,2018-10-07,30,79,35,35,21,14,True,2018-01-19,2018-10-07,15.238095238095235,15.0,62.61904761904762,54.0,1,0,0,16.14557616441354,15.238095238095237,15.0,4.528886402845365,21.0,15.0,11.0,8.468830665426024,5.438071797733766,16.239873274943275,261.0,0.0,951.6936791477613,0.0,True
2018_MI_106_20181106_D014,2018_MI_106_20181106,2018,MI,106,2018-11-06,2018-10-23,14,79,35,35,25,10,True,2018-01-19,2018-10-23,14.28,15.0,66.32,46.0,2,0,0,12.180295969830865,14.28,15.0,5.405302984968986,25.0,19.0,13.0,9.312239628401679,5.704142957262111,14.859596780582363,277.0,0.0,714.5133272318997,0.0,True
2018_MI_106_20181106_D007,2018_MI_106_20181106,2018,MI,106,2018-11-06,2018-10-30,7,79,35,35,30,5,True,2018-01-19,2018-10-30,13.736666666666668,13.0,61.7,46.5,2,0,0,11.748789439203556,13.736666666666668,13.0,4.483912147875507,30.0,24.0,13.0,12.33768566879687,8.479395210103979,12.138935222869945,284.0,0.0,706.635138902245,0.0,True
