snapshot_id,cycle,state,race_id,snapshot_date,days_out,actual_margin_dem,fundamentals_margin_dem,polling_margin_dem,has_polling,poll_count,pollster_count,effective_poll_count,mean_poll_age_days,production_polling_weight,production_bayesian_margin_dem,production_posterior_sd,margin_movement_dem
2022_VT_8949_20221108_D030,2022,VT,2022_VT,2022-10-09,30,41.90937868850685,35.51837310561312,27.22739563754752,True,2.0,2.0,1.5904542050612065,12.40318957904598,0.275,33.238354301895086,3.5,-2.2800188037180362
2022_WA_8950_20221108_D030,2022,WA,2022_WA,2022-10-09,30,14.550585979180894,18.771006369581382,8.549636317585284,True,17.0,9.0,7.947889780768974,15.880899929454344,0.5,13.660321343583334,3.5,-5.110685025998048
2022_WI_8951_20221108_D030,2022,WI,2022_WI,2022-10-09,30,-1.0091205339674616,-0.4418734669320106,-1.929891922674958,True,17.0,12.0,11.674962876639462,13.111892926225908,0.5,-1.1858826948034844,3.5,-0.7440092278714738
2022_AL_8917_20221108_D014,2022,AL,2022_AL,2022-10-25,14,-36.652984262818194,-26.90274966670944,,False,0.0,,0.0,,0.0,-26.90274966670944,3.5,0.0
2022_AR_8920_20221108_D014,2022,AR,2022_AR,2022-10-25,14,-35.782880140816665,-29.504866555966306,-19.056563071152915,True,2.0,1.0,1.3041616512750436,11.851961348356433,0.3336666666666667,-26.018615959866903,3.5,3.486250596099403
2022_AZ_8919_20221108_D014,2022,AZ,2022_AZ,2022-10-25,14,4.992147589578039,-0.7663366417413773,5.494853868847638,True,37.0,25.0,21.821200670132356,17.14640835288789,0.6066666666666667,3.0321189346826256,3.5,3.798455576424003
2022_CA_8921_20221108_D014,2022,CA,2022_CA_REGULAR,2022-10-25,14,22.12900637700405,28.737822721335142,25.411381644517043,True,2.0,2.0,1.957609008529891,10.735772944353691,0.3336666666666667,27.62790021537017,3.5,-1.109922505964974
2022_CA_9480_20221108_D014,2022,CA,2022_CA_SPECIAL,2022-10-25,14,21.787140037865683,28.737822721335142,22.0,True,1.0,1.0,1.0,15.0,0.182,27.511538986052145,3.5,-1.2262837352829976
2022_CO_8922_20221108_D014,2022,CO,2022_CO,2022-10-25,14,15.047246386477951,12.796638984600303,11.482032918275983,True,15.0,13.0,11.300243457475938,14.56633609418904,0.6066666666666667,11.999111304363549,3.5,-0.7975276802367546
2022_FL_8924_20221108_D014,2022,FL,2022_FL,2022-10-25,14,-16.587594994456367,-4.469509324283111,-5.659653940542017,True,46.0,27.0,12.062211897900944,15.86086178152611,0.6066666666666667,-5.191530391480181,3.5,-0.7220210671970699
2022_GA_8925_20221108_D014,2022,GA,2022_GA,2022-10-25,14,0.9774140180497994,-0.841340674182705,0.7377077523287563,True,54.0,32.0,20.266015474375997,12.698071581498349,0.6066666666666667,0.1166153712342482,3.5,0.9579560454169531
2022_IA_8930_20221108_D014,2022,IA,2022_IA,2022-10-25,14,-12.196840548191474,-9.44652616927411,-7.307718508251017,True,12.0,6.0,6.388566608362276,11.535392826136828,0.6066666666666667,-8.1489828549201,3.5,1.2975433143540105
2022_IL_8928_20221108_D014,2022,IL,2022_IL,2022-10-25,14,15.584397861044309,16.238087465613845,14.611017198481754,True,7.0,6.0,4.261508732949951,8.066427891534879,0.6066666666666667,15.250998170220376,3.5,-0.9870892953934689
2022_IN_8929_20221108_D014,2022,IN,2022_IN,2022-10-25,14,-21.495551038239668,-17.470096014885925,-2.2545992718670416,True,2.0,2.0,1.6117515130537368,37.40177597161238,0.3336666666666667,-12.39319193496529,3.5,5.076904079920634
2022_KS_8931_20221108_D014,2022,KS,2022_KS,2022-10-25,14,-23.66328612885694,-16.0668565112627,-14.675804692777245,True,3.0,3.0,1.9840664370381824,43.51228729328205,0.455,-15.433927933851816,3.5,0.6329285774108833
2022_KY_8932_20221108_D014,2022,KY,2022_KY,2022-10-25,14,-23.619806488332387,-27.480205800525937,-16.0,True,1.0,1.0,1.0,276.0,0.182,-25.390808344830216,3.5,2.089397455695721
2022_LA_8933_20221108_D014,2022,LA,2022_LA,2022-10-25,14,-55.0418251781291,-20.008880912582107,,False,0.0,,0.0,,0.0,-20.008880912582107,3.5,0.0
2022_MD_8935_20221108_D014,2022,MD,2022_MD,2022-10-25,14,31.743055937654752,32.97809409418468,23.0,True,1.0,1.0,1.0,43.0,0.182,31.162080969043068,3.5,-1.816013125141609
2022_MO_8936_20221108_D014,2022,MO,2022_MO,2022-10-25,14,-13.652645873736844,-16.751641288802887,-9.719481756408774,True,7.0,4.0,1.9975911163753592,11.812015167942572,0.6066666666666667,-12.485464505817124,3.5,4.266176782985763
