snapshot_id,cycle,state,race_id,days_out,fundamentals_margin_dem,polling_margin_dem,production_bayesian_margin_dem,fundamentals_prob_dem,production_prob_dem,probability_movement,abs_probability_movement,poll_count,pollster_count,effective_poll_count,mean_poll_age_days,production_polling_weight,actual_margin_dem
2022_GA_8925_20221108_D090,2022,GA,2022_GA,90,-0.841340674182705,3.11558955843458,0.2072458374608755,0.4352760264660896,0.5160277983716702,0.08075177190558064,0.08075177190558064,25.0,22.0,10.340163520711029,17.692029507833606,0.265,0.9774140180497994
2018_FL_100_20181106_D120,2018,FL,2018_FL,120,5.3323290544490405,-3.3070434573501513,3.7772420023251865,0.8389063847847836,0.7629433620954443,-0.0759630226893393,0.0759630226893393,24.0,15.0,11.751624133553646,13.478889578154853,0.18,-0.1225183560779328
2020_GA_6271_20201103_D090,2020,GA,2020_GA_REGULAR,90,0.7976548013935725,-2.892351898352296,-0.1801969740390826,0.5613980488847443,0.48606291807051066,-0.07533513081423365,0.07533513081423365,12.0,12.0,8.311188517156639,12.736807330132564,0.265,-1.8212843302317765
2020_TX_6295_20201103_D060,2020,TX,2020_TX,60,-3.3064511559439795,-7.1141217454206735,-4.639135862260822,0.22260091295830364,0.14746489056551407,-0.07513602239278958,0.07513602239278958,17.0,13.0,7.579329638535194,12.446443044097512,0.35,-9.899042062075353
2018_WI_127_20181106_D090,2018,WI,2018_WI,90,5.754021923940577,15.399819865069617,8.310158378339771,0.8557719548561455,0.9290123611640061,0.07324040630786055,0.07324040630786055,5.0,5.0,6.711798993210303,27.605283337750222,0.265,10.83712500456204
2020_IA_6272_20201103_D090,2020,IA,2020_IA,90,-4.007095690240694,0.6030181568094801,-2.7854155207723976,0.2244335531168068,0.2969301138676148,0.07249656075080801,0.07249656075080801,11.0,9.0,6.404385564874755,8.085633354263628,0.265,-6.799246352762225
2024_OH_9526_20241105_D120,2024,OH,2024_OH,120,-8.423395295405431,5.952368107547215,-5.835757882873955,0.06871115247687144,0.14113415973232968,0.07242300725545824,0.07242300725545824,15.0,10.0,2.1030703178552623,18.18503818822782,0.18,-3.747668078104226
2024_MI_9515_20241105_D060,2024,MI,2024_MI,60,2.5571186888189135,5.498533710851105,3.5866139465301803,0.7245528867560581,0.7951963088113688,0.07064342205531071,0.07064342205531071,39.0,22.0,15.04163251970268,12.041436204634016,0.35,0.3515485263113902
2020_NH_6286_20201103_D090,2020,NH,2020_NH,90,6.514056884761412,18.35325474275643,9.651444317130093,0.8824464893885032,0.9519688847150666,0.06952239532656335,0.06952239532656335,4.0,1.0,1.2797527873249834,13.035503347907031,0.265,16.02932792111268
2024_WI_9534_20241105_D120,2024,WI,2024_WI,120,0.3681265330679895,5.322348171521778,1.2598864279896715,0.5284488478658376,0.5962532292835975,0.0678043814177599,0.0678043814177599,15.0,11.0,7.898843086751613,17.942743457970323,0.18,0.8677410241822372
2020_IA_6272_20201103_D120,2020,IA,2020_IA,120,-4.007095690240694,2.254863455239822,-2.879943044054201,0.2244335531168068,0.290859886736179,0.06642633361937222,0.06642633361937222,7.0,5.0,3.336496040939706,20.27358209869788,0.18,-6.799246352762225
2018_MI_106_20181106_D060,2018,MI,2018_MI,60,6.334663566076905,17.680781210430762,10.305804741600756,0.9165149290117769,0.980118510513458,0.0636035815016811,0.0636035815016811,8.0,7.0,4.420550444974222,20.617681197115697,0.35,6.6371383113556135
2020_AZ_6268_20201103_D120,2020,AZ,2020_AZ,120,2.341759107726598,7.580131674135319,3.284666169680168,0.6736341131199268,0.734281477400487,0.06064736428056017,0.06064736428056017,28.0,18.0,9.029267836104994,15.79300483534835,0.18,2.3495227373552865
2020_NH_6286_20201103_D060,2020,NH,2020_NH,60,6.514056884761412,18.05923075005035,10.55486773761254,0.9215619651577811,0.9818734645037606,0.06031149934597946,0.06031149934597946,5.0,1.0,1.3991124407623377,9.712812610628491,0.35,16.02932792111268
2020_TX_6295_20201103_D090,2020,TX,2020_TX,90,-3.3064511559439795,-7.324807470099697,-4.371315579195245,0.26440526013020765,0.20542547353394966,-0.058979786596257994,0.058979786596257994,12.0,11.0,5.935495374495052,15.310339923984852,0.265,-9.899042062075353
2018_TX_121_20181106_D120,2018,TX,2018_TX,120,-2.8564511559439794,-8.217619698596366,-3.821461493621409,0.2923616087685274,0.23459066417044017,-0.05777094459808724,0.05777094459808724,11.0,9.0,5.592762867751206,18.564836516544453,0.18,-2.5874814972216456
2024_NV_9521_20241105_D120,2024,NV,2024_NV,120,2.176234680087614,6.967525848712379,3.0386670904400717,0.6622742822641129,0.719166178419477,0.05689189615536416,0.05689189615536416,13.0,10.0,5.020808970459091,18.073760609324097,0.18,1.7457448421834698
2018_PA_118_20181106_D090,2018,PA,2018_PA,90,5.818928385019667,12.71031438234529,7.645145674310958,0.8582333746061073,0.9141838968179568,0.055950522211849485,0.055950522211849485,8.0,6.0,8.088610401604798,39.51563193308737,0.265,13.085564092459125
2024_PA_9527_20241105_D120,2024,PA,2024_PA,120,0.9084105186981152,5.051562663010117,1.6541779046742755,0.5698187666315052,0.625250102820254,0.05543133618874874,0.05543133618874874,32.0,19.0,8.167460369559327,19.67521916496688,0.18,-0.2228208993178242
2018_IN_102_20181106_D060,2018,IN,2018_IN,60,-13.664619049016142,4.558031774721685,-7.286691260707904,0.0056622106755785905,0.05974932838736153,0.05408711771178294,0.05408711771178294,4.0,4.0,5.524090585627479,15.7971000590717,0.35,-6.162903216195062
2020_TX_6295_20201103_D120,2020,TX,2020_TX,120,-3.3064511559439795,-8.68681550279751,-4.274916738377615,0.26440526013020765,0.21033747331765876,-0.054067786812548896,0.054067786812548896,6.0,6.0,2.137580839442373,14.138089260405634,0.18,-9.899042062075353
2018_MI_106_20181106_D090,2018,MI,2018_MI,90,6.334663566076905,13.989677823251156,8.363242344228082,0.8765643806662002,0.930088095010726,0.05352371434452574,0.05352371434452574,4.0,4.0,6.90632497678646,29.444417608728084,0.265,6.6371383113556135
2022_PA_8945_20221108_D120,2022,PA,2022_PA,120,0.098410518698115,5.186366512369604,0.785284577843766,0.5076128072357753,0.5604552535437975,0.05284244630802226,0.05284244630802226,3.0,3.0,1.9995573835579952,22.006338508643083,0.135,5.035095542957677
2022_OH_8942_20221108_D120,2022,OH,2022_OH,120,-9.233395295405431,3.9866901700847186,-6.853779911617205,0.05430436622179496,0.10707879769494683,0.05277443147315187,0.05277443147315187,6.0,5.0,4.57250387184434,12.469823343163435,0.18,-6.114454849606801
2024_MN_9516_20241105_D090,2024,MN,2024_MN,90,7.00902729713334,19.574561375256287,9.506427195160276,0.8974286860555913,0.9498748378893285,0.05244615183373713,0.05244615183373713,3.0,2.0,1.6936684652452287,22.586078579464974,0.19875,16.235543437695867
2018_PA_118_20181106_D060,2018,PA,2018_PA,60,5.818928385019667,11.789106999522458,7.908490900095643,0.9003256379367508,0.9521734825018912,0.051847844565140355,0.051847844565140355,11.0,8.0,5.280923071648535,25.62604157620128,0.35,13.085564092459125
2020_GA_6271_20201103_D120,2020,GA,2020_GA_REGULAR,120,0.7976548013935725,-2.8766425006757346,0.1362812870210973,0.5613980488847443,0.5105416535733677,-0.050856395311376645,0.050856395311376645,6.0,6.0,3.445409590777669,16.033177895054653,0.18,-1.8212843302317765
