race_id,cycle,state,election_type,special_election,senate_class,class_assignment_method,class_assignment_notes,seat_id
2022_CA_REGULAR,2022,CA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,CA_CLASS_3
2022_CA_SPECIAL,2022,CA,special,True,3,special_election_override,Special election for the Class 3 seat,CA_CLASS_3
2022_CO,2022,CO,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,CO_CLASS_3
2022_FL,2022,FL,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,FL_CLASS_3
2022_GA,2022,GA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,GA_CLASS_3
2022_HI,2022,HI,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,HI_CLASS_3
2022_IA,2022,IA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,IA_CLASS_3
2022_ID,2022,ID,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,ID_CLASS_3
2022_IL,2022,IL,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,IL_CLASS_3
2022_IN,2022,IN,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,IN_CLASS_3
2022_KS,2022,KS,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,KS_CLASS_3
2022_KY,2022,KY,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,KY_CLASS_3
2022_LA,2022,LA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,LA_CLASS_3
2022_MD,2022,MD,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,MD_CLASS_3
2022_MO,2022,MO,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,MO_CLASS_3
2022_NC,2022,NC,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,NC_CLASS_3
2022_ND,2022,ND,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,ND_CLASS_3
2022_NH,2022,NH,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,NH_CLASS_3
2022_NV,2022,NV,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,NV_CLASS_3
2022_NY,2022,NY,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,NY_CLASS_3
2022_OH,2022,OH,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,OH_CLASS_3
2022_OK_REGULAR,2022,OK,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,OK_CLASS_3
2022_OK_SPECIAL,2022,OK,special,True,2,special_election_override,Special election for the Class 2 seat,OK_CLASS_2
2022_OR,2022,OR,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,OR_CLASS_3
2022_PA,2022,PA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,PA_CLASS_3
2022_SC,2022,SC,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,SC_CLASS_3
2022_SD,2022,SD,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,SD_CLASS_3
2022_UT,2022,UT,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,UT_CLASS_3
2022_VT,2022,VT,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,VT_CLASS_3
2022_WA,2022,WA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,WA_CLASS_3
2022_WI,2022,WI,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,WI_CLASS_3
2024_AZ,2024,AZ,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,AZ_CLASS_1
2024_CA_REGULAR,2024,CA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,CA_CLASS_1
2024_CA_SPECIAL,2024,CA,special,True,1,special_election_override,Special election for the Class 1 seat,CA_CLASS_1
2024_CT,2024,CT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,CT_CLASS_1
2024_DE,2024,DE,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,DE_CLASS_1
2024_FL,2024,FL,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,FL_CLASS_1
2024_HI,2024,HI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,HI_CLASS_1
2024_IN,2024,IN,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,IN_CLASS_1
2024_MA,2024,MA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MA_CLASS_1
2024_MD,2024,MD,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MD_CLASS_1
2024_ME,2024,ME,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,ME_CLASS_1
2024_MI,2024,MI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MI_CLASS_1
2024_MN,2024,MN,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MN_CLASS_1
2024_MO,2024,MO,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MO_CLASS_1
2024_MS,2024,MS,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MS_CLASS_1
2024_MT,2024,MT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MT_CLASS_1
2024_ND,2024,ND,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,ND_CLASS_1
2024_NE_REGULAR,2024,NE,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NE_CLASS_1
2024_NE_SPECIAL,2024,NE,special,True,2,special_election_override,Special election for the Class 2 seat,NE_CLASS_2
2024_NJ,2024,NJ,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NJ_CLASS_1
2024_NM,2024,NM,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NM_CLASS_1
2024_NV,2024,NV,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NV_CLASS_1
2024_NY,2024,NY,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NY_CLASS_1
2024_OH,2024,OH,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,OH_CLASS_1
2024_PA,2024,PA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,PA_CLASS_1
2024_RI,2024,RI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,RI_CLASS_1
2024_TN,2024,TN,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,TN_CLASS_1
2024_TX,2024,TX,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,TX_CLASS_1
2024_UT,2024,UT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,UT_CLASS_1
2024_VA,2024,VA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,VA_CLASS_1
2024_VT,2024,VT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,VT_CLASS_1
2024_WA,2024,WA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WA_CLASS_1
2024_WI,2024,WI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WI_CLASS_1
2024_WV,2024,WV,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WV_CLASS_1
2024_WY,2024,WY,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WY_CLASS_1
