year,state,state_po,dem_candidate,gop_candidate,dem_votes,gop_votes,major_party_votes,totalvotes,dem_vote_share,gop_vote_share,dem_two_party_share,gop_two_party_share,presidential_margin_dem,winner_party,source_dataset,source_doi,source_file,source_status,validation_status
2008,WEST VIRGINIA,WV,"OBAMA, BARACK H.","MCCAIN, JOHN",303857,397466,701323,713451,42.58975038229675,55.71034310695479,43.32625623286275,56.67374376713725,-13.347487534274507,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,WYOMING,WY,"OBAMA, BARACK H.","MCCAIN, JOHN",82868,164958,247826,254904,32.50949377020368,64.71377459749553,33.43797664490408,66.56202335509592,-33.124046710191834,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2012,ALASKA,AK,"OBAMA, BARACK H.","ROMNEY, MITT",122640,164676,287316,300495,40.81265911246443,54.801577397294466,42.684709518439625,57.315290481560375,-14.63058096312075,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2012,ALABAMA,AL,"OBAMA, BARACK H.","ROMNEY, MITT",795696,1255925,2051621,2074338,38.35903309875247,60.54582232982282,38.78377146656229,61.21622853343771,-22.432457066875415,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2012,ARKANSAS,AR,"OBAMA, BARACK H.","ROMNEY, MITT",394409,647744,1042153,1069468,36.87899030172011,60.56693608410911,37.84559464877038,62.15440535122962,-24.30881070245924,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2012,ARIZONA,AZ,"OBAMA, BARACK H.","ROMNEY, MITT",1025232,1233654,2258886,2299254,44.58976694179938,53.654533165974705,45.38661977629681,54.61338022370319,-9.226760447406377,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2012,CALIFORNIA,CA,"OBAMA, BARACK H.","ROMNEY, MITT",7854285,4839958,12694243,13038547,60.23895914168964,37.1203785207048,61.872811163296625,38.127188836703375,23.74562232659325,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2012,COLORADO,CO,"OBAMA, BARACK H.","ROMNEY, MITT",1323101,1185243,2508344,2569516,51.49222655161517,46.127091639047975,52.747988314202516,47.252011685797484,5.495976628405032,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2012,CONNECTICUT,CT,"OBAMA, BARACK H.","ROMNEY, MITT",905083,634892,1539975,1558204,58.085013258854424,40.74511424691504,58.772577476907095,41.227422523092905,17.54515495381419,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2012,DELAWARE,DE,"OBAMA, BARACK H.","ROMNEY, MITT",242584,165484,408068,413890,58.610741984585275,39.98260407354611,59.44695491927816,40.55304508072184,18.893909838556326,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
