seat_id,state,senate_class,previous_race_id,current_race_id,previous_cycle,current_cycle,cycle_gap,previous_margin_dem,current_margin_dem,seat_swing_dem,previous_generic_ballot_margin_dem,current_generic_ballot_margin_dem,national_swing_dem
AZ_CLASS_1,AZ,1,2018_AZ,2024_AZ,2018,2024,6,2.402957486136785,2.4624583141814895,0.05950082804470469,7.3,-0.3,-7.6
CT_CLASS_1,CT,1,2018_CT,2024_CT,2018,2024,6,20.408576995776254,19.20478918086353,-1.203787814912726,7.3,-0.3,-7.6
DE_CLASS_1,DE,1,2018_DE,2024_DE,2018,2024,6,22.639007988446096,17.782937775828344,-4.856070212617752,7.3,-0.3,-7.6
FL_CLASS_1,FL,1,2018_FL,2024_FL,2018,2024,6,-0.1225183560779328,-12.991751177582984,-12.86923282150505,7.3,-0.3,-7.6
HI_CLASS_1,HI,1,2018_HI,2024_HI,2018,2024,6,42.30219569410147,33.89004871259568,-8.412146981505792,7.3,-0.3,-7.6
IN_CLASS_1,IN,1,2018_IN,2024_IN,2018,2024,6,-6.162903216195062,-20.401222284822257,-14.238319068627195,7.3,-0.3,-7.6
MA_CLASS_1,MA,1,2018_MA,2024_MA,2018,2024,6,25.038879177334593,19.847565736102283,-5.19131344123231,7.3,-0.3,-7.6
MD_CLASS_1,MD,1,2018_MD,2024_MD,2018,2024,6,36.30566322052462,12.106519772814307,-24.199143447710313,7.3,-0.3,-7.6
MI_CLASS_1,MI,1,2018_MI,2024_MI,2018,2024,6,6.6371383113556135,0.3515485263113902,-6.285589785044223,7.3,-0.3,-7.6
MN_CLASS_1,MN,1,2018_MN_REGULAR,2024_MN,2018,2024,6,24.963466608899424,16.235543437695867,-8.727923171203557,7.3,-0.3,-7.6
MO_CLASS_1,MO,1,2018_MO,2024_MO,2018,2024,6,-5.996633249741748,-14.096355376281892,-8.099722126540144,7.3,-0.3,-7.6
MS_CLASS_1,MS,1,2018_MS_REGULAR,2024_MS,2018,2024,6,-19.41285627996939,-25.624382405477704,-6.211526125508314,7.3,-0.3,-7.6
MT_CLASS_1,MT,1,2018_MT,2024_MT,2018,2024,6,3.6569158437772415,-7.278178886452224,-10.935094730229466,7.3,-0.3,-7.6
ND_CLASS_1,ND,1,2018_ND,2024_ND,2018,2024,6,-10.905410742496043,-33.03319923672319,-22.127788494227147,7.3,-0.3,-7.6
NE_CLASS_1,NE,1,2018_NE,2024_NE_REGULAR,2018,2024,6,-19.79502813980163,-6.694085293448069,13.100942846353561,7.3,-0.3,-7.6
NJ_CLASS_1,NJ,1,2018_NJ,2024_NJ,2018,2024,6,11.544410589867937,9.857537839129066,-1.6868727507388712,7.3,-0.3,-7.6
NM_CLASS_1,NM,1,2018_NM,2024_NM,2018,2024,6,27.83688334059555,10.113349665840444,-17.723533674755103,7.3,-0.3,-7.6
NV_CLASS_1,NV,1,2018_NV,2024_NV,2018,2024,6,5.247548248472796,1.7457448421834698,-3.5018034062893264,7.3,-0.3,-7.6
NY_CLASS_1,NY,1,2018_NY,2024_NY,2018,2024,6,33.99933379035469,18.40805372062256,-15.591280069732129,7.3,-0.3,-7.6
OH_CLASS_1,OH,1,2018_OH,2024_OH,2018,2024,6,6.847342539013482,-3.747668078104226,-10.595010617117708,7.3,-0.3,-7.6
PA_CLASS_1,PA,1,2018_PA,2024_PA,2018,2024,6,13.085564092459125,-0.2228208993178242,-13.308384991776949,7.3,-0.3,-7.6
RI_CLASS_1,RI,1,2018_RI,2024_RI,2018,2024,6,23.159474112658216,20.098878346212786,-3.060595766445431,7.3,-0.3,-7.6
TN_CLASS_1,TN,1,2018_TN,2024_TN,2018,2024,6,-10.937204153944108,-30.25187665212592,-19.31467249818181,7.3,-0.3,-7.6
TX_CLASS_1,TX,1,2018_TX,2024_TX,2018,2024,6,-2.5874814972216456,-8.705251955409139,-6.117770458187493,7.3,-0.3,-7.6
UT_CLASS_1,UT,1,2018_UT,2024_UT,2018,2024,6,-33.878940101996875,-32.640668786229845,1.2382713157670295,7.3,-0.3,-7.6
VA_CLASS_1,VA,1,2018_VA,2024_VA,2018,2024,6,16.319900580969303,8.952032284687988,-7.367868296281316,7.3,-0.3,-7.6
VT_CLASS_1,VT,1,2018_VT,2024_VT,2018,2024,6,42.16474561566585,32.64053697017699,-9.524208645488862,7.3,-0.3,-7.6
WA_CLASS_1,WA,1,2018_WA,2024_WA,2018,2024,6,16.867519849859107,18.501674485843935,1.634154635984828,7.3,-0.3,-7.6
WI_CLASS_1,WI,1,2018_WI,2024_WI,2018,2024,6,10.83712500456204,0.8677410241822372,-9.969383980379803,7.3,-0.3,-7.6
WV_CLASS_1,WV,1,2018_WV,2024_WV,2018,2024,6,3.3894179136536167,-42.47776205712924,-45.86717997078286,7.3,-0.3,-7.6
WY_CLASS_1,WY,1,2018_WY,2024_WY,2018,2024,6,-37.97819051140363,-51.380342939975975,-13.402152428572343,7.3,-0.3,-7.6
