bias_correction_dem,global_sd,races,adjusted_residual_mean,adjusted_residual_sd,margin_mae,margin_rmse,brier,binary_log_loss,margin_negative_log_likelihood,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,rank_brier,rank_binary_log_loss,rank_margin_negative_log_likelihood,rank_expected_calibration_error,rank_mean_absolute_coverage_error,average_rank,weighted_selection_score,pareto_optimal,recommended
-2.75,10.0,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07879847857996294,0.2841597079826309,3.8653981490621194,0.05881092725907386,0.09553294609855464,0.3088783020548344,0.5683760683760684,0.06837606837606836,0.06837606837606836,0.8205128205128205,0.02051282051282044,0.02051282051282044,0.9316239316239316,-0.01837606837606831,0.01837606837606831,0.0357549857549857,0.06837606837606836,514.0,521.0,182.0,482.0,121.0,364.0,333.6666666666667,True,False
-2.75,10.25,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07896645528214565,0.2832899785567668,3.859065278992208,0.0709664779268784,0.11543405576360105,0.3446591644626136,0.594017094017094,0.09401709401709402,0.09401709401709402,0.8290598290598291,0.029059829059829068,0.029059829059829068,0.9358974358974359,-0.014102564102564052,0.014102564102564052,0.04572649572649571,0.09401709401709402,524.0,503.0,140.0,648.0,221.0,407.2,362.6666666666667,False,False
-2.75,10.5,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07915389485797246,0.2826633243451019,3.8543269630333667,0.07273198105692306,0.1164184325319198,0.31269224716615696,0.6025641025641025,0.10256410256410253,0.10256410256410253,0.8418803418803419,0.04188034188034184,0.04188034188034184,0.9444444444444444,-0.005555555555555536,0.005555555555555536,0.04999999999999997,0.10256410256410253,549.0,490.0,106.0,670.0,251.0,413.2,362.0,False,False
-2.75,10.75,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07936007753717272,0.28225766823927445,3.851009910591455,0.07107289924506323,0.11177472340752598,0.2638415152624037,0.6153846153846154,0.11538461538461542,0.11538461538461542,0.8418803418803419,0.04188034188034184,0.04188034188034184,0.9444444444444444,-0.005555555555555536,0.005555555555555536,0.05427350427350427,0.11538461538461542,566.0,478.0,77.0,652.0,278.0,410.2,354.6666666666667,False,False
-2.75,11.0,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07958430408731314,0.282053220534875,3.848961510848829,0.07191629657756096,0.11290444240997408,0.2627282642532943,0.6196581196581197,0.11965811965811968,0.11965811965811968,0.8504273504273504,0.05042735042735036,0.05042735042735036,0.9444444444444444,-0.005555555555555536,0.005555555555555536,0.058547008547008526,0.11965811965811968,586.0,472.0,57.0,660.0,314.0,417.8,357.6666666666667,False,False
-2.75,11.25,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07982589323391379,0.2820321916371356,3.848047025599024,0.07445191146672298,0.11424418003578224,0.2669753568283763,0.6282051282051282,0.1282051282051282,0.1282051282051282,0.8547008547008547,0.05470085470085462,0.05470085470085462,0.9444444444444444,-0.005555555555555536,0.005555555555555536,0.06282051282051278,0.1282051282051282,603.0,469.0,47.0,688.0,353.0,432.0,367.8333333333333,False,False
-2.75,11.5,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.08008417984958537,0.28217854702117484,3.8481472115707778,0.07531607897809246,0.11571586425294444,0.2714155903159196,0.6495726495726496,0.1495726495726496,0.1495726495726496,0.8675213675213675,0.0675213675213675,0.0675213675213675,0.9487179487179487,-0.0012820512820512775,0.0012820512820512775,0.07279202279202279,0.1495726495726496,621.0,475.0,48.0,694.0,439.0,455.4,387.5,False,False
-2.75,11.75,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.08035851374229935,0.28247779740016904,3.849156299182546,0.07191230696302439,0.10775990555261573,0.2702186655182518,0.6538461538461539,0.15384615384615385,0.15384615384615385,0.8675213675213675,0.0675213675213675,0.0675213675213675,0.9572649572649573,0.00726495726495735,0.00726495726495735,0.07621082621082624,0.15384615384615385,640.0,487.0,59.0,659.0,472.0,463.4,396.0,False,False
-2.75,12.0,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.08064825890240973,0.2829168183655398,3.8509802683144794,0.06977802181611584,0.10633315261073475,0.2744351380495722,0.6666666666666666,0.16666666666666663,0.16666666666666663,0.8675213675213675,0.0675213675213675,0.0675213675213675,0.9572649572649573,0.00726495726495735,0.00726495726495735,0.0804843304843305,0.16666666666666663,658.0,496.0,75.0,638.0,503.0,474.0,407.5,False,False
-2.75,12.25,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.0809527930929523,0.28348369480545654,3.85353537256169,0.07068365906426126,0.10709244244174734,0.2805637978194031,0.6752136752136753,0.17521367521367526,0.17521367521367526,0.8717948717948718,0.07179487179487176,0.07179487179487176,0.9572649572649573,0.00726495726495735,0.00726495726495735,0.08475783475783479,0.17521367521367526,672.0,507.0,98.0,644.0,534.0,491.0,425.5,False,False
-2.75,12.5,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.08127150768885699,0.28416758624098737,3.8567468721455045,0.07248307124850446,0.1072563043933882,0.2796291129835443,0.6837606837606838,0.18376068376068377,0.18376068376068377,0.8846153846153846,0.08461538461538454,0.08461538461538454,0.9572649572649573,0.00726495726495735,0.00726495726495735,0.09188034188034189,0.18376068376068377,682.0,522.0,123.0,668.0,576.0,514.2,449.0,False,False
-2.75,12.75,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.08160380768864157,0.28495860988890304,3.8605479426720226,0.06889423137020662,0.10018189292717267,0.2674681212022825,0.688034188034188,0.18803418803418803,0.18803418803418803,0.8888888888888888,0.0888888888888888,0.0888888888888888,0.9615384615384616,0.011538461538461608,0.011538461538461608,0.09615384615384615,0.18803418803418803,693.0,540.0,149.0,627.0,603.0,522.4,460.1666666666667,False,False
-2.75,13.0,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.08194911183739442,0.28584773880137204,3.864878732597216,0.06860825240844277,0.10067706287609204,0.26381092467449724,0.688034188034188,0.18803418803418803,0.18803418803418803,0.8888888888888888,0.0888888888888888,0.0888888888888888,0.9615384615384616,0.011538461538461608,0.011538461538461608,0.09615384615384615,0.18803418803418803,703.0,556.0,179.0,623.0,603.0,532.8,473.8333333333333,False,False
-2.75,13.25,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.08230685281278446,0.28682671287261,3.869685546862052,0.07086835771988367,0.10260921944740692,0.26768419217778017,0.7008547008547008,0.2008547008547008,0.2008547008547008,0.8931623931623932,0.09316239316239316,0.09316239316239316,0.9615384615384616,0.011538461538461608,0.011538461538461608,0.10185185185185186,0.2008547008547008,711.0,571.0,214.0,647.0,640.0,556.6,499.5,False,False
-2.75,13.5,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.0826764774367572,0.2878879608618126,3.8749201379156686,0.07053922623640556,0.1020193974996361,0.24677202260485226,0.7051282051282052,0.20512820512820518,0.20512820512820518,0.8974358974358975,0.09743589743589742,0.09743589743589742,0.9615384615384616,0.011538461538461608,0.011538461538461608,0.10470085470085473,0.20512820512820518,717.0,581.0,247.0,643.0,661.0,569.8,516.0,False,False
